County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Los Angeles,44016.00,6885.00,170.00,1251.00,1350.00,517.00,162.00
Madera,44016.00,28.00,2.00,0.00,3.00,0.00,1.00
Marin,44016.00,122.00,7.00,6.00,5.00,4.00,4.00
Mariposa,44016.00,0.00,0.00,0.00,3.00,0.00,0.00
Mendocino,44016.00,4.00,0.00,0.00,2.00,0.00,0.00
Merced,44016.00,27.00,1.00,3.00,3.00,0.00,3.00
Modoc,44016.00,0.00,0.00,0.00,1.00,0.00,0.00
Mono,44016.00,18.00,1.00,20.00,2.00,0.00,0.00
Monterey,44016.00,63.00,2.00,18.00,25.00,5.00,4.00
Napa,44016.00,18.00,2.00,0.00,5.00,0.00,3.00
Nevada,44016.00,20.00,1.00,1.00,4.00,1.00,2.00
Orange,44016.00,971.00,19.00,143.00,144.00,71.00,29.00
Placer,44016.00,94.00,3.00,19.00,18.00,9.00,3.00
Plumas,44016.00,3.00,0.00,0.00,1.00,0.00,0.00
Riverside,44016.00,905.00,25.00,129.00,207.00,57.00,57.00
Sacramento,44016.00,513.00,18.00,74.00,91.00,28.00,18.00
San Benito,44016.00,26.00,2.00,3.00,3.00,2.00,0.00
San Bernardino,44016.00,554.00,18.00,146.00,178.00,54.00,49.00
San Diego,44016.00,1456.00,31.00,203.00,124.00,87.00,29.00
San Francisco,44016.00,636.00,6.00,88.00,116.00,36.00,9.00
San Joaquin,44016.00,198.00,12.00,31.00,33.00,14.00,4.00
San Luis Obispo,44016.00,87.00,1.00,2.00,5.00,2.00,4.00
San Mateo,44016.00,573.00,22.00,63.00,13.00,26.00,2.00
Santa Barbara,44016.00,209.00,2.00,41.00,8.00,23.00,1.00
Santa Clara,44016.00,1193.00,46.00,187.00,47.00,77.00,7.00
Santa Cruz,44016.00,67.00,1.00,4.00,4.00,4.00,3.00
Shasta,44016.00,16.00,3.00,5.00,8.00,2.00,3.00
Sierra,44016.00,0.00,0.00,,,,
Siskiyou,44016.00,4.00,0.00,0.00,1.00,0.00,1.00
